Section	Action	URI	Applicable	Reasoning
Permissions	sharing	http://creativecommons.org/ns#Sharing	YES	The license explicitly allows users to 'Share — copy and redistribute the material'.
Permissions	source code	http://www.w3.org/ns/odrl/2/sourceCode	NO	This specific ODRL action means to make the source code of a policy/license available. The license itself (the policy) is openly available but this action is more about software source code. If the licensed material IS software the license allows sharing it which would include source code if provided but not a specific permission TO the source code of the policy itself via this action.
Permissions	stream	http://www.w3.org/ns/odrl/2/stream	YES	If the material is suitable for streaming the right to 'Share' (which includes performance and communication to the public) and 'use' in any media or format implies the right to stream it for non-commercial purposes.
Permissions	synchronize	http://www.w3.org/ns/odrl/2/synchronize	YES	Synchronizing media (e.g. audio with video) is a form of adaptation ('remix transform and build upon') which is permitted.
Permissions	Text-to-speech	http://www.w3.org/ns/odrl/2/textToSpeech	YES	Converting text to speech is a technical modification or an adaptation which is permitted for non-commercial use. It facilitates access and use.
Permissions	transform	http://www.w3.org/ns/odrl/2/transform	YES	The license explicitly allows users to 'transform' the material as part of the 'Adapt' permission.
Permissions	translate	http://www.w3.org/ns/odrl/2/translate	YES	Translation is a form of adaptation ('transform') which is permitted. The translated work would be an Adapted Material and subject to ShareAlike.
Permissions	uninstall	http://www.w3.org/ns/odrl/2/uninstall	YES	If the material was installed (e.g. software) the user has the implicit right to uninstall it from their own device. This is a consequence of user control over their own systems.
Permissions	use	http://www.w3.org/ns/odrl/2/use	YES	The entire license is about granting permissions to 'use' the Licensed Material in various ways subject to conditions.
Permissions	watermark	http://www.w3.org/ns/odrl/2/watermark	NO	The license does not grant the licensee the right to add a watermark. Adding a watermark could be an 'adaptation' but it might also be seen as a 'technological measure' that restricts others if not done carefully. The license requires not removing existing watermarks if they are part of copyright management information. The act of adding a new one is not an explicitly granted permission.
Prohibitions	accept tracking	http://www.w3.org/ns/odrl/2/acceptTracking	NO	The license does not prohibit accepting tracking. This is outside the scope of copyright permissions.
Prohibitions	aggregate	http://www.w3.org/ns/odrl/2/aggregate	NO	Aggregation is permitted under adaptation rights. It is not prohibited.
Prohibitions	annotate	http://www.w3.org/ns/odrl/2/annotate	NO	Annotation is permitted as a form of adaptation. It is not prohibited.
Prohibitions	anonymize	http://www.w3.org/ns/odrl/2/anonymize	NO	The license does not directly prohibit anonymization. However failing to provide attribution would be a violation. Anonymizing parts of the content for privacy reasons unrelated to attribution is not prohibited by the license itself.
Prohibitions	archive	http://www.w3.org/ns/odrl/2/archive	NO	Archiving is not prohibited.
Prohibitions	attribute	http://www.w3.org/ns/odrl/2/attribute	NO	The license doesn't prohibit assigning attributes to the work in a general sense though it doesn't grant this as a right either. Misattribution could be an issue but not 'attribute' itself.
Prohibitions	attribution	http://creativecommons.org/ns#Attribution	NO	This is an obligation not a prohibition. Failing to provide attribution is a violation but the act of attribution itself is not prohibited.
Prohibitions	commercial use	http://creativecommons.org/ns#CommercialUse	YES	The 'NC' (NonCommercial) clause explicitly prohibits using the material for commercial purposes. Section 2.a.1.A and B state "for NonCommercial purposes only".
Prohibitions	compensate	http://www.w3.org/ns/odrl/2/compensate	NO	The license does not prohibit offering compensation nor does it prohibit the licensor from seeking it outside of the license terms. The license makes the use royalty-free.
Prohibitions	concurrent use	http://www.w3.org/ns/odrl/2/concurrentUse	NO	Concurrent use is not prohibited.
Prohibitions	delete	http://www.w3.org/ns/odrl/2/delete	NO	Deleting one's own copies is not prohibited. Deleting the original or others' copies without right is generally not allowed but not a specific prohibition of this license beyond normal property rights.
Prohibitions	derivative works	http://creativecommons.org/ns#DerivativeWorks	NO	Creating derivative works is permitted.
Prohibitions	derive	http://www.w3.org/ns/odrl/2/derive	NO	Deriving new works is permitted.
Prohibitions	digitize	http://www.w3.org/ns/odrl/2/digitize	NO	Digitizing is not prohibited.
Prohibitions	display	http://www.w3.org/ns/odrl/2/display	NO	Display for non-commercial purposes is permitted. Display for commercial purposes would fall under the commercial use prohibition.
Prohibitions	distribute	http://www.w3.org/ns/odrl/2/distribute	NO	Distribution for non-commercial purposes under the license terms is permitted. Distribution for commercial purposes or without meeting license terms is prohibited.
Prohibitions	distribution	http://creativecommons.org/ns#Distribution	NO	Distribution itself is permitted. Commercial distribution or distribution not adhering to SA or Attribution is prohibited.
Prohibitions	ensure exclusivity	http://www.w3.org/ns/odrl/2/ensureExclusivity	YES	The licensor grants a non-exclusive license. The licensee cannot claim or ensure exclusivity for themselves. Section 2.a.1 grants a "non-exclusive" license.
Prohibitions	execute	http://www.w3.org/ns/odrl/2/execute	NO	Execution for non-commercial purposes is not prohibited.
Prohibitions	extract	http://www.w3.org/ns/odrl/2/extract	NO	Extraction for non-commercial purposes is not prohibited.
Prohibitions	give	http://www.w3.org/ns/odrl/2/give	NO	Giving copies (sharing) for non-commercial purposes is not prohibited.
Prohibitions	grant use	http://www.w3.org/ns/odrl/2/grantUse	YES	The licensee may not sublicense the material. They can only share it under the terms of the CC BY-NC-SA 4.0 license. Section 2.a.1 grants a "non-sublicensable" license.
Prohibitions	include	http://www.w3.org/ns/odrl/2/include	NO	Including the work in an adaptation for non-commercial purposes and under ShareAlike is permitted.
Prohibitions	index	http://www.w3.org/ns/odrl/2/index	NO	Indexing for non-commercial purposes is not prohibited.
Prohibitions	inform	http://www.w3.org/ns/odrl/2/inform	NO	The license does not prohibit informing others about the work.
Prohibitions	install	http://www.w3.org/ns/odrl/2/install	NO	Installation for non-commercial use is not prohibited.
Prohibitions	modify	http://www.w3.org/ns/odrl/2/modify	NO	Modification for non-commercial purposes and under ShareAlike is permitted.
Prohibitions	move	http://www.w3.org/ns/odrl/2/move	NO	Moving one's own copies is not prohibited.
Prohibitions	next policy	http://www.w3.org/ns/odrl/2/nextPolicy	YES	The ShareAlike condition (Section 3.b) requires that adaptations are licensed under the same terms or a compatible license. Applying a different incompatible 'next policy' is prohibited.
Prohibitions	notice	http://creativecommons.org/ns#Notice	NO	Providing notice is an obligation. Removing or altering required notices is prohibited (Section 3.a.1).
Prohibitions	obtain consent	http://www.w3.org/ns/odrl/2/obtainConsent	NO	The license does not prohibit seeking additional consents from the licensor for uses beyond the license.
Prohibitions	play	http://www.w3.org/ns/odrl/2/play	NO	Playing for non-commercial purposes is not prohibited.
Prohibitions	present	http://www.w3.org/ns/odrl/2/present	NO	Presenting for non-commercial purposes is not prohibited.
Prohibitions	print	http://www.w3.org/ns/odrl/2/print	NO	Printing for non-commercial use is not prohibited.
Prohibitions	read	http://www.w3.org/ns/odrl/2/read	NO	Reading the material is not prohibited.
Prohibitions	reproduce	http://www.w3.org/ns/odrl/2/reproduce	NO	Reproduction for non-commercial purposes and under license terms is permitted.
Prohibitions	reproduction	http://creativecommons.org/ns#Reproduction	NO	Reproduction for non-commercial purposes and under license terms is permitted.
Prohibitions	review policy	http://www.w3.org/ns/odrl/2/reviewPolicy	NO	The license does not prohibit reviewing the policy.
Prohibitions	sell	http://www.w3.org/ns/odrl/2/sell	YES	The 'NC' (NonCommercial) clause explicitly prohibits selling the material or adaptations. This is a form of commercial use.
Prohibitions	share Alike	http://creativecommons.org/ns#ShareAlike	NO	This is an obligation for adaptations. Failing to ShareAlike adaptations is a violation. The act of ShareAlike itself is not prohibited it's required.
Prohibitions	sharing	http://creativecommons.org/ns#Sharing	NO	Sharing for non-commercial purposes under license terms is permitted.
Prohibitions	source code	http://www.w3.org/ns/odrl/2/sourceCode	NO	The license does not prohibit making source code available. If the licensed work is software and includes source code sharing it would include sharing the source code.
Prohibitions	stream	http://www.w3.org/ns/odrl/2/stream	NO	Streaming for non-commercial purposes is not prohibited.
Prohibitions	synchronize	http://www.w3.org/ns/odrl/2/synchronize	NO	Synchronization as a form of adaptation for non-commercial purposes is not prohibited.
Prohibitions	Text-to-speech	http://www.w3.org/ns/odrl/2/textToSpeech	NO	Text-to-speech for non-commercial use is not prohibited.
Prohibitions	transform	http://www.w3.org/ns/odrl/2/transform	NO	Transformation for non-commercial purposes under ShareAlike is permitted.
Prohibitions	translate	http://www.w3.org/ns/odrl/2/translate	NO	Translation for non-commercial purposes under ShareAlike is permitted.
Prohibitions	uninstall	http://www.w3.org/ns/odrl/2/uninstall	NO	Uninstalling one's own copy is not prohibited.
Prohibitions	use	http://www.w3.org/ns/odrl/2/use	NO	Non-commercial use under the license terms is permitted. Commercial use is prohibited.
Prohibitions	watermark	http://www.w3.org/ns/odrl/2/watermark	NO	The license prohibits removing effective technological measures which might include certain types of watermarks (Section 2.a.5.A related to notices and Section 3.a.1). Adding a new watermark is not explicitly prohibited but must not act as an additional restriction on downstream users.
Obligations	accept tracking	http://www.w3.org/ns/odrl/2/acceptTracking	NO	The license does not impose obligations regarding accepting tracking technologies.
Obligations	aggregate	http://www.w3.org/ns/odrl/2/aggregate	NO	While allowed if one aggregates and creates an adaptation then attribution and ShareAlike obligations apply to the new work. The act of aggregation itself is not an obligation.
Obligations	annotate	http://www.w3.org/ns/odrl/2/annotate	NO	If annotation creates an adaptation then attribution and ShareAlike obligations apply. The act of annotating is not an obligation.
Obligations	anonymize	http://www.w3.org/ns/odrl/2/anonymize	NO	The license does not require anonymization. It requires attribution.
Obligations	archive	http://www.w3.org/ns/odrl/2/archive	NO	There is no obligation to archive the material.
Obligations	attribute	http://www.w3.org/ns/odrl/2/attribute	YES	This is a core obligation. Section 3.a.1 specifies requirements for attribution to the licensor.
Obligations	attribution	http://creativecommons.org/ns#Attribution	YES	This is a core obligation when sharing or adapting the material. Section 3.a of the legal code details attribution requirements.
Obligations	commercial use	http://creativecommons.org/ns#CommercialUse	NO	This is a prohibition not an obligation. The obligation is to NOT use it commercially.
Obligations	compensate	http://www.w3.org/ns/odrl/2/compensate	NO	The license is royalty-free. There is no obligation for the licensee to compensate the licensor under this license.
Obligations	concurrent use	http://www.w3.org/ns/odrl/2/concurrentUse	NO	There are no obligations related to how many users can use it concurrently.
Obligations	delete	http://www.w3.org/ns/odrl/2/delete	NO	There is no obligation to delete the material.
Obligations	derivative works	http://creativecommons.org/ns#DerivativeWorks	NO	There is no obligation to create derivative works. If one CHOOSES to create them then other obligations (like ShareAlike) apply.
Obligations	derive	http://www.w3.org/ns/odrl/2/derive	NO	There is no obligation to derive new works.
Obligations	digitize	http://www.w3.org/ns/odrl/2/digitize	NO	There is no obligation to digitize the material.
Obligations	display	http://www.w3.org/ns/odrl/2/display	NO	There is no obligation to display the material.
Obligations	distribute	http://www.w3.org/ns/odrl/2/distribute	NO	There is no obligation to distribute the material. If you do distribute then obligations apply.
Obligations	distribution	http://creativecommons.org/ns#Distribution	NO	There is no obligation to distribute. If you do obligations apply.
Obligations	ensure exclusivity	http://www.w3.org/ns/odrl/2/ensureExclusivity	NO	The license is non-exclusive. There is no obligation for the licensee to ensure exclusivity for anyone.
Obligations	execute	http://www.w3.org/ns/odrl/2/execute	NO	There is no obligation to execute the material.
Obligations	extract	http://www.w3.org/ns/odrl/2/extract	NO	There is no obligation to extract parts of the material.
Obligations	give	http://www.w3.org/ns/odrl/2/give	NO	There is no obligation to give the material to others. If you do (share) then obligations apply.
Obligations	grant use	http://www.w3.org/ns/odrl/2/grantUse	NO	The licensee does not grant use they operate under the grant from the licensor. No obligation here for the licensee.
Obligations	include	http://www.w3.org/ns/odrl/2/include	NO	There is no obligation to include the material in other works. If you do obligations apply.
Obligations	index	http://www.w3.org/ns/odrl/2/index	NO	There is no obligation to index the material.
Obligations	inform	http://www.w3.org/ns/odrl/2/inform	YES	Section 3.a.1.A.v requires providing a URI/hyperlink to the Licensed Material if supplied. Section 3.a.1.B requires indicating if You modified the Licensed Material. Section 3.a.1.C requires indicating the material is licensed under this license and including its text or URI. These are forms of informing.
Obligations	install	http://www.w3.org/ns/odrl/2/install	NO	There is no obligation to install the material.
Obligations	modify	http://www.w3.org/ns/odrl/2/modify	NO	There is no obligation to modify the material. If you do obligations apply.
Obligations	move	http://www.w3.org/ns/odrl/2/move	NO	There is no obligation to move the material.
Obligations	next policy	http://www.w3.org/ns/odrl/2/nextPolicy	YES	If you create Adapted Material you must license it under the Adapter's License which must be this license a later version or a compatible license (Section 3.b.1). This is an obligation to apply a specific 'next policy'.
Obligations	notice	http://creativecommons.org/ns#Notice	YES	Section 3.a requires providing notices: retaining identification copyright notices license notices disclaimer notices and indicating modifications.
Obligations	obtain consent	http://www.w3.org/ns/odrl/2/obtainConsent	NO	The license doesn't obligate the licensee to obtain further consent for licensed uses. For uses outside the license consent would be needed but that's not an obligation OF the license.
Obligations	play	http://www.w3.org/ns/odrl/2/play	NO	There is no obligation to play the material.
Obligations	present	http://www.w3.org/ns/odrl/2/present	NO	There is no obligation to present the material.
Obligations	print	http://www.w3.org/ns/odrl/2/print	NO	There is no obligation to print the material.
Obligations	read	http://www.w3.org/ns/odrl/2/read	NO	There is no obligation to read the material.
Obligations	reproduce	http://www.w3.org/ns/odrl/2/reproduce	NO	There is no obligation to reproduce the material. If you do then obligations apply.
Obligations	reproduction	http://creativecommons.org/ns#Reproduction	NO	There is no obligation to reproduce. If you do then obligations apply.
Obligations	review policy	http://www.w3.org/ns/odrl/2/reviewPolicy	NO	There is no obligation for the licensee to review the policy though it is advisable.
Obligations	sell	http://www.w3.org/ns/odrl/2/sell	NO	Selling is prohibited.
Obligations	share Alike	http://creativecommons.org/ns#ShareAlike	YES	If you produce Share or Reproduce Adapted Material you must license it under the same or compatible terms. Section 3.b details the ShareAlike obligations.
Obligations	sharing	http://creativecommons.org/ns#Sharing	NO	There is no obligation to share. If you do share then obligations (Attribution NonCommercial ShareAlike for adaptations) apply.
Obligations	source code	http://www.w3.org/ns/odrl/2/sourceCode	NO	The license does not generally obligate providing source code unless the licensed material is software and providing source code is the established norm for sharing that type of software under an open license and is necessary to exercise the rights. This specific ODRL action is about the policy's source.
Obligations	stream	http://www.w3.org/ns/odrl/2/stream	NO	There is no obligation to stream the material.
Obligations	synchronize	http://www.w3.org/ns/odrl/2/synchronize	NO	There is no obligation to synchronize material.
Obligations	Text-to-speech	http://www.w3.org/ns/odrl/2/textToSpeech	NO	There is no obligation to create a text-to-speech version.
Obligations	transform	http://www.w3.org/ns/odrl/2/transform	NO	There is no obligation to transform the material. If you do obligations apply.
Obligations	translate	http://www.w3.org/ns/odrl/2/translate	NO	There is no obligation to translate the material. If you do (creating an adaptation) then ShareAlike and Attribution obligations apply.
Obligations	uninstall	http://www.w3.org/ns/odrl/2/uninstall	NO	There is no obligation to uninstall the material.
Obligations	use	http://www.w3.org/ns/odrl/2/use	NO	There is no obligation to use the material.
Obligations	watermark	http://www.w3.org/ns/odrl/2/watermark	NO	There is no obligation to add a watermark. There is an obligation not to remove existing copyright management information which might include watermarks (Section 3.a.1).
