CATEGORY	URI	RELEVANT
PROHIBITIONS	http://www.w3.org/ns/odrl/2/install	NO
OBLIGATIONS	http://www.w3.org/ns/odrl/2/install	NO
PERMISSIONS	http://www.w3.org/ns/odrl/2/modify	NO
PROHIBITIONS	http://www.w3.org/ns/odrl/2/modify	NO
OBLIGATIONS	http://www.w3.org/ns/odrl/2/modify	NO
PERMISSIONS	http://www.w3.org/ns/odrl/2/move	NO
PROHIBITIONS	http://www.w3.org/ns/odrl/2/move	NO
OBLIGATIONS	http://www.w3.org/ns/odrl/2/move	NO
PERMISSIONS	http://www.w3.org/ns/odrl/2/nextPolicy	NO
PROHIBITIONS	http://www.w3.org/ns/odrl/2/nextPolicy	YES
OBLIGATIONS	http://www.w3.org/ns/odrl/2/nextPolicy	NO
PERMISSIONS	http://www.w3.org/ns/odrl/2/obtainConsent	NO
PROHIBITIONS	http://www.w3.org/ns/odrl/2/obtainConsent	NO
OBLIGATIONS	http://www.w3.org/ns/odrl/2/obtainConsent	NO
PERMISSIONS	http://www.w3.org/ns/odrl/2/play	NO
PROHIBITIONS	http://www.w3.org/ns/odrl/2/play	NO
OBLIGATIONS	http://www.w3.org/ns/odrl/2/play	NO
PERMISSIONS	http://www.w3.org/ns/odrl/2/present	NO
PROHIBITIONS	http://www.w3.org/ns/odrl/2/present	NO
OBLIGATIONS	http://www.w3.org/ns/odrl/2/present	NO
PERMISSIONS	http://www.w3.org/ns/odrl/2/print	NO
PROHIBITIONS	http://www.w3.org/ns/odrl/2/print	NO
OBLIGATIONS	http://www.w3.org/ns/odrl/2/print	NO
PERMISSIONS	http://www.w3.org/ns/odrl/2/read	NO
PROHIBITIONS	http://www.w3.org/ns/odrl/2/read	NO
OBLIGATIONS	http://www.w3.org/ns/odrl/2/read	NO
PERMISSIONS	http://www.w3.org/ns/odrl/2/reproduce	NO
PROHIBITIONS	http://www.w3.org/ns/odrl/2/reproduce	NO
OBLIGATIONS	http://www.w3.org/ns/odrl/2/reproduce	NO
PERMISSIONS	http://www.w3.org/ns/odrl/2/reviewPolicy	NO
PROHIBITIONS	http://www.w3.org/ns/odrl/2/reviewPolicy	YES
OBLIGATIONS	http://www.w3.org/ns/odrl/2/reviewPolicy	NO
PERMISSIONS	http://www.w3.org/ns/odrl/2/sell	NO
PROHIBITIONS	http://www.w3.org/ns/odrl/2/sell	NO
OBLIGATIONS	http://www.w3.org/ns/odrl/2/sell	NO
PERMISSIONS	http://www.w3.org/ns/odrl/2/sourceCode	NO
PROHIBITIONS	http://www.w3.org/ns/odrl/2/sourceCode	NO
OBLIGATIONS	http://www.w3.org/ns/odrl/2/sourceCode	NO
PERMISSIONS	http://www.w3.org/ns/odrl/2/stream	NO
PROHIBITIONS	http://www.w3.org/ns/odrl/2/stream	NO
OBLIGATIONS	http://www.w3.org/ns/odrl/2/stream	NO
PERMISSIONS	http://www.w3.org/ns/odrl/2/synchronize	NO
PROHIBITIONS	http://www.w3.org/ns/odrl/2/synchronize	NO
OBLIGATIONS	http://www.w3.org/ns/odrl/2/synchronize	NO
PERMISSIONS	http://www.w3.org/ns/odrl/2/textToSpeech	NO
PROHIBITIONS	http://www.w3.org/ns/odrl/2/textToSpeech	NO
OBLIGATIONS	http://www.w3.org/ns/odrl/2/textToSpeech	NO
PERMISSIONS	http://www.w3.org/ns/odrl/2/transform	NO
PROHIBITIONS	http://www.w3.org/ns/odrl/2/transform	NO
OBLIGATIONS	http://www.w3.org/ns/odrl/2/transform	NO
PERMISSIONS	http://www.w3.org/ns/odrl/2/translate	NO
PROHIBITIONS	http://www.w3.org/ns/odrl/2/translate	NO
OBLIGATIONS	http://www.w3.org/ns/odrl/2/translate	NO
PERMISSIONS	http://www.w3.org/ns/odrl/2/uninstall	NO
PROHIBITIONS	http://www.w3.org/ns/odrl/2/uninstall	NO
OBLIGATIONS	http://www.w3.org/ns/odrl/2/uninstall	NO
PERMISSIONS	http://www.w3.org/ns/odrl/2/use	NO
PROHIBITIONS	http://www.w3.org/ns/odrl/2/use	NO
OBLIGATIONS	http://www.w3.org/ns/odrl/2/use	NO
PERMISSIONS	http://www.w3.org/ns/odrl/2/watermark	NO
PROHIBITIONS	http://www.w3.org/ns/odrl/2/watermark	YES
OBLIGATIONS	http://www.w3.org/ns/odrl/2/watermark	NO
